UnitID	datasetName	KindOfUnit	TypeStatus	FullScientificName	storage:Institution	storage:Building	storage:ContainerStorage	storage:Column	storage:ContainerName	storage:ContainerType	storage:SubContainerStorage	Property1	PropertyValue1	Property2	PropertyValue2	Property3	PropertyValue3	Property4	PropertyValue4	Property5	PropertyValue5	Property6	PropertyValue6	Property7	PropertyValue7	Property8	PropertyValue8	Notes
RMCA ENT 000012117	DIPTERAE	specimen	Holotype	Anacamptomyia africana	Royal Museum for Central Africa	Colonial Palace	box	161	39	dry		taxonomy_source	gbif	author_gbif	"Bischof, 1904"	name_in_source	Anacamptomyia africana 	author_in_source_species	Bischof	ht_dorsal_view	RMCA ENT 000012117 DV	ht_head_front_view	Holotype without head	ht_lateral_view	RMCA ENT 000012117 LV	ht_labels	RMCA ENT 000012117 LB	Holotype without head
RMCA ENT 000012118	DIPTERAE	specimen	Holotype	Anacamptomyia bisetosa	Royal Museum for Central Africa	Colonial Palace	box	161	39	dry		taxonomy_source	gbif	author_gbif	"(Roubaud & Villeneuve, 1914)"	name_in_source	Anacamptomyia bisetosa 	author_in_source_species	Roubaud & Vill.	ht_dorsal_view	RMCA ENT 000012118 DV	ht_head_front_view	RMCA ENT 000012118 HV	ht_lateral_view	RMCA ENT 000012118 LV	ht_labels	RMCA ENT 000012118 LB	TYPUS
RMCA_ENT_161_BOX_39	DIPTERAE	specimen		Anacamptomyia bisetosa	Royal Museum for Central Africa	Colonial Palace	box	161	39	dry		taxonomy_source	gbif	author_gbif	"(Roubaud & Villeneuve, 1914)"	name_in_source	Anacamptomyia bisetosa 	author_in_source_species	Roubaud & Vill.									TYPUS
RMCA_ENT_161_BOX_39	DIPTERAE	specimen		Anacamptomyia pallida	Royal Museum for Central Africa	Colonial Palace	box	161	39	dry		taxonomy_source	gbif	author_gbif	"Roubaud & Villeneuve, 1914"	name_in_source	Anacamptomyia pallida 	author_in_source_species	Roubaud & Vill.									TYPUS
RMCA ENT 000012119	DIPTERAE	specimen	Holotype	Anacamptomyia pallida	Royal Museum for Central Africa	Colonial Palace	box	161	39	dry		taxonomy_source	gbif	author_gbif	"Roubaud & Villeneuve, 1914"	name_in_source	Anacamptomyia pallida 	author_in_source_species	Roubaud & Vill.	ht_dorsal_view	RMCA ENT 000012119 DV	ht_head_front_view	RMCA ENT 000012119 HV	ht_lateral_view	RMCA ENT 000012119 LV	ht_labels	RMCA ENT 000012119 LB	TYPUS
RMCA ENT 000012120	DIPTERAE	specimen	Holotype	Anacamptomyia pruinosa	Royal Museum for Central Africa	Colonial Palace	box	161	39	dry		taxonomy_source	gbif	author_gbif	"(Roubaud & Villeneuve, 1914)"	name_in_source	Anacamptomyia pruinosa 	author_in_source_species	Roubaud & Vill.	ht_dorsal_view	RMCA ENT 000012120 DV	ht_head_front_view	RMCA ENT 000012120 HV	ht_lateral_view	RMCA ENT 000012120 LV	ht_labels	RMCA ENT 000012120 LB	TYPUS
RMCA_ENT_161_BOX_39	DIPTERAE	specimen		Anacamptomyia rufescens	Royal Museum for Central Africa	Colonial Palace	box	161	39	dry		taxonomy_source	gbif	author_gbif	"(Villeneuve, 1910)"	name_in_source	Anacamptomyia rufescens 	author_in_source_species	Vill.									"etiquette verte, parasite de.."
RMCA_ENT_143_BOX_6	DIPTERAE	specimen		Anasimyia katonae	Royal Museum for Central Africa	Colonial Palace	box	143	6	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Anasimyia katonae 	author_in_source_species	Bezzi									prêt
RMCA_ENT_143_BOX_6	DIPTERAE	specimen		Anasimyia nasutus	Royal Museum for Central Africa	Colonial Palace	box	143	6	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Anasimyia nasutus 	author_in_source_species	Curran									prêt
RMCA_ENT_139_BOX_41	DIPTERAE	specimen	Holotype	Ancylorhynchus crux	Royal Museum for Central Africa	Colonial Palace	box	139	41	dry		taxonomy_source	gbif	author_gbif	"Bezzi, 1908"	name_in_source	Ancylorhynchus crux 	author_in_source_species	Bezzi	ht_dorsal_view		ht_head_front_view		ht_lateral_view		ht_labels		prêt
RMCA_ENT_139_BOX_41	DIPTERAE	specimen		Ancylorhynchus susurrus	Royal Museum for Central Africa	Colonial Palace	box	139	41	dry		taxonomy_source	gbif	author_gbif	"(Karch, 1879)"	name_in_source	Ancylorhynchus sussurus 	author_in_source_species	karsch									prêt
RMCA_ENT_139_BOX_17	DIPTERAE	specimen		Andrenosoma boranicum	Royal Museum for Central Africa	Colonial Palace	box	139	17	dry		taxonomy_source	gbif	author_gbif	"Corti, 1895"	name_in_source	Andrenosoma boranicum 	author_in_source_species	Corti									
