Taxon_Notes	IdentifiedBy	IdentificationDay	IdentificationMonth	IdentificationYear	TypeStatus	Identification_Notes	ParasiteSpecies	ParasiteIdentifier	HostSpecies	HostIdentifier	UnitID	additionalID	collection_imported	accessionNumber	label_created_by	media_files	Notes	acquisitionType 	acquiredFrom	acquisitionDay	acquisitionMonth	acquisitionYear	Acquisition_Notes	sex	lifeStage	maleCount	femaleCount	juvenileCount	totalNumber	notes_Counts	sampling_code	building	floor	room	row	column	shelf	specimen_status	KindOfUnit 	ContainerName	ContainerType	ContainerStorage	SubcontainerName	SubcontainerType	SubcontainerStorage	StorageNotes	DNA_Tag	DNA_box	DNA_tube	DNA_HPos	DNA_VPos	DNA_Notes	FullScientificName	secondary	collectedBy	samplingMethod	expedition_project	collectionStartDay	collectionStartMonth	collectionStartYear	collectionStartTimeH	collectionStartTimeM	collectionEndDay	collectionEndMonth	collectionEndYear	collectionEndTimeH	collectionEndTimeM
					Figured specimen						IRSNB M 0181		Vincent	9219			Collection Vincent														IRSNB M 0181								M3/														Lophiotherium cervulum	part-A													
					Figured specimen						IRSNB M 0182			17172																	IRSNB M 0181								M2/														Lophiotherium pygmaeum	part-A													
					Cotype						IRSNB M 0183			17172																	IRSNB M 0240a-f								Lower Maxilla														Palaeophoca nystii	part-A													
					Cotype						IRSNB M 0184			17172																	IRSNB M 0173a-c								anterior end of a left dentary														Palaeophoca nystii	part-A													
					Cotype						IRSNB M 0185a-b			17172																	IRSNB M 0173a-c								"M185-a: Canine, M185-b: Molaire (P/3? sensu C. Ray)"														Palaeophoca nystii	part-A													
					Cotype						IRSNB M 0186			17172																	IRSNB M 0173a-c								Canine														Palaeophoca nystii	part-A													
					Cotype						IRSNB M 0187			17172																	IRSNB M 0187								Iliaque														Palaeophoca nystii	part-A													
					Cotype						IRSNB M 0188			17172																	IRSNB M 0173a-c								R humeri														Palaeophoca nystii	part-A													
					Cotype						IRSNB M 0189			17172																	IRSNB M 0240a-f								L humeri														Palaeophoca nystii	part-A													
					Cotype						IRSNB M 0190			17172																	IRSNB M 0173a-c								Right tibia fragment														Palaeophoca nystii	part-A													
					Figured specimen						IRSNB M 0191			8912																	IRSNB M 0191								M1/														Lophiotherium pygmaeum	part-A													
					Plesiotype						IRSNB M 0192			17172																	IRSNB M 0891								L ulna														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0193			17172																	IRSNB M 0173a-c								L internal metacarpian														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0194			17172																	IRSNB M 0891								R humerus fragment														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0195			17172																	IRSNB M 0187								juvenile right humerus														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0196			17172																	IRSNB M 0891								R radius fragment														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0197a-b			17172																	IRSNB M 0173a-c								"M197a: Sacrum, M197b: L ilium"														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0198			17172																	IRSNB M 0890								5th cervial vertebra														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0199			17172																	IRSNB M 0891								4th lumbar vertebra														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0200			17172																	IRSNB M 0200								juvenile left femur														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0201			17172																	IRSNB M 0891								L tibia														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0202			17172																	IRSNB M 0240a-f								L astragalus														Alachtherium cretsii	part-A													
					Cotype						IRSNB M 0203			17172																	IRSNB M 0203								L humerus														Callophoca obscura	part-A													
					Cotype						IRSNB M 0204			17172																	IRSNB M 0240a-f								L radius														Callophoca obscura	part-A													
					Cotype						IRSNB M 0205			17172																	IRSNB M 0240a-f								Ilium fragment														Callophoca obscura	part-A													
					Cotype						IRSNB M 0206			17172																	IRSNB M 0206								L radius														Callophoca obscura	part-A													
					Cotype						IRSNB M 0207a-b			17172																	IRSNB M 0240a-f								"M207a: Left tibia, M207b: Calcaneum"														Callophoca obscura	part-A													
					Cotype						IRSNB M 0208			17172																	IRSNB M 0240a-f								R astragalus														Callophoca obscura	part-A													
					Figured specimen						IRSNB M 0209			8912																	IRSNB M 0209								Broken M2/														Lophiotherium pygmaeum	part-A													
					Cotype						IRSNB M 0210			17172																	IRSNB M 0240a-f								L humerus														Platyphoca vulgaris	part-A													
					Cotype						IRSNB M 0211			17172																	IRSNB M 0240a-f								Ilium														Platyphoca vulgaris	part-A													
					Cotype						IRSNB M 0212			17172																	IRSNB M 0187								L femur														Platyphoca vulgaris	part-A													
					Cotype						IRSNB M 0213			17172																	IRSNB M 0213								R tibia														Platyphoca vulgaris	part-A													
					Cotype						IRSNB M 0214			17172																	IRSNB M 0173a-c								4th R metacarpian														Platyphoca vulgaris	part-A													
					Cotype						IRSNB M 0215			17172																	IRSNB M 0173a-c								2nd posterior phalanx														Platyphoca vulgaris	part-A													
					Cotype						IRSNB M 0216			17172																	IRSNB M 0240a-f								L scapula fragment														Gryphoca similis	part-A													
					Cotype						IRSNB M 0217			17172																	IRSNB M 0240a-f								L humerus fragment														Gryphoca similis	part-A													
					Cotype						IRSNB M 0218			17172																	IRSNB M 0203								L radius fragment														Gryphoca similis	part-A													
					Cotype						IRSNB M 0219			17172																	IRSNB M 0219								Lombar vertebra														Gryphoca similis	part-A													
					Cotype						IRSNB M 0220			17172																	IRSNB M 0240a-f								Ilium fragment														Gryphoca similis	part-A													
					Cotype						IRSNB M 0221			17172																	IRSNB M 0240a-f								Ilium fragment														Gryphoca similis	part-A													
					Cotype						IRSNB M 0222			17172																	IRSNB M 0240a-f								sacrum														Gryphoca similis	part-A													
					Cotype						IRSNB M 0223a-b			17172																	IRSNB M 0240a-f								a: right femur; b: right tibia														Gryphoca similis	part-A													
					Cotype						IRSNB M 0224			17172																	IRSNB M 0890								L femur fragment														Gryphoca similis	part-A													
					Figured specimen						IRSNB M 0225			8912																	IRSNB M 0209								Broken M/3														Lophiotherium pygmaeum	part-A													
					Cotype						IRSNB M 0226			17172																	IRSNB M 0200								astragalus														Gryphoca similis	part-A													
					Cotype						IRSNB M 0227			17172																	IRSNB M 0240a-f								R humerus														Phocanella pumila	part-A													
					Cotype						IRSNB M 0228			17172																	IRSNB M 0240a-f								L radius														Phocanella pumila	part-A													
					Cotype						IRSNB M 0229			17172																	IRSNB M 0240a-f								Lombar vertebra														Phocanella pumila	part-A													
					Cotype						IRSNB M 0230			17172																	IRSNB M 0240a-f								Ilium fragment (with acetabulum)														Phocanella pumila	part-A													
					Cotype						IRSNB M 0231			17172																	IRSNB M 0240a-f								L femur														Phocanella pumila	part-A													
					Cotype						IRSNB M 0232			17172																	IRSNB M 0240a-f								R femur fragment														Phocanella pumila	part-A													
					Cotype						IRSNB M 0233			17172																	IRSNB M 0240a-f								R tibia and fibula fragments														Phocanella pumila	part-A													
					Cotype						IRSNB M 0234			17172																	IRSNB M 0173a-c								R humerus														Phocanella minor	part-A													
					Cotype						IRSNB M 0235			17172																	IRSNB M 0240a-f								trunk vertebra														Phocanella minor	part-A													
					Cotype						IRSNB M 0236			17172																	IRSNB M 0219								sacrum														Phocanella minor	part-A													
					Cotype						IRSNB M 0237			17172																	IRSNB M 0295a-b²								ilium fragment														Phocanella minor	part-A													
					Cotype						IRSNB M 0238			17172																	IRSNB M 0240a-f								R femur														Phocanella minor	part-A													
					Cotype						IRSNB M 0239			17172																	IRSNB M 0240a-f								R tibia & fibula														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0240a-f			17172																	IRSNB M 0240a-f								M240a: complete pelvis; M240b: sacrum; M240c: L femur; M240d-f: lombar vertebrae														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0241			17172																	IRSNB M 0240a-f								scapula														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0242			17172																	IRSNB M 0240a-f								L humerus														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0243a-c			17172																	IRSNB M 0240a-f								"M243a: radius fragment, M243b: cubitus fragment, M243c: rib"														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0244a-b			17172																	IRSNB M 0240a-f								M244a: trunk vertebra; M244b: ilium														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0245			17172																	IRSNB M 0240a-f								trunk vertebra														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0246			17172																	IRSNB M 0240a-f								lumbar vertebra														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0247			17172																	IRSNB M 0240a-f								R femur														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0248			17172																	IRSNB M 0240a-f								L tibia														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0249			17172																	IRSNB M 0240a-f								Tibia and fibula fragment (epiphyses)														Nanophoca vitulinoides	part-A													
					Cotype						IRSNB M 0250			17172																	IRSNB M 0240a-f								Tibia and fibula fragment														Nanophoca vitulinoides	part-A													
