UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	Original_aquisition_date	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw10145	1961	3	15		Dechamps, Roger					SN6648	Irvingia robur Mildbr.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		4 | 19	coupe | sample	drawer | xylotheek cabinet	5 | 5									CAPA	Xylarium ground floor	Xylarium ground floor		4676	19	5			1,037080498															
Tw10146	1961	3	15		Dechamps, Roger					SN1293	Baphia laurentii De Wild.	accepted		Africa	Congo, Democratic Republic of the	Kasai		3	3	3		5	coupe	drawer	19									CAPA	spare collection (basement)																							
Tw10147	1961	3	15		Dechamps, Roger					SN6286	Homalium stipulaceum Welw. ex Mast.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		3 | 17	coupe | sample	drawer | xylotheek cabinet	22 | 4									CAPA	Xylarium ground floor	Xylarium ground floor		4179	17	4			0,70854063															
Tw10148	1961	3	15		Dechamps, Roger					SN12921	Uapaca laurentii De Wild. 	synonym	Uapaca mole	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		8	coupe	drawer	21									CAPA	spare collection (basement)																							
Tw10149	1961	3	15		Dechamps, Roger					SN8076	Microdesmis kasaiensis J. Léonard	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	3	coupe	drawer	14									CAPA	spare collection (basement)																							
Tw10150	1961	3	15		Dechamps, Roger					SN9146	Pausinystalia macroceras (K. Schum.) Pierre ex Beille	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		7	coupe	drawer	26									CAPA	spare collection (basement)																							
Tw10151	1961	3	15		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10152	1961	3	15		Dechamps, Roger					SN11251	Santiria trimera (Oliv.) Aubrév.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		2	coupe	drawer	6									CAPA	spare collection (basement)																							
Tw10153	1961	3	15		Dechamps, Roger					SN12797	Trichoscypha platycarpa Van der Veken 	synonym	Trichoscypha oliveri	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		1 | 2	coupe | sample	drawer | xylotheek cabinet	8 | 1					Tw_10153_Trans_025.jpg,Tw_10153_Trans_076.jpg,Tw_10153_Tan_076.jpg,Tw_10153_Rad_076.jpg,Tw_10153_Tan_800.jpg	Transversal section,Transversal section,Tangential section,Radial section,Tangential section	12,22,40,65,45		CAPA	Xylarium ground floor	Xylarium ground floor		354	2	1																		
Tw10154	1961	3	15		Dechamps, Roger					SN540	Albizia zygia (DC.) J.F. Macbr.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		5	coupe	drawer	11									CAPA	spare collection (basement)																							
Tw10155	1961	3	15		Dechamps, Roger					SN1296	Baphia marceliana De Wild.	accepted		Africa	Congo, Democratic Republic of the	Kasai		3	3	3		5 | 25	coupe | sample	drawer | xylotheek cabinet	19 | 4									CAPA	Xylarium ground floor	Xylarium ground floor		6504	25	4																		
Tw10156	1961	3	15		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai																		CAPA	spare collection (basement)																							
Tw10157	1961	3	15		Dechamps, Roger					SN518	Albizia gummifera (J.F. Gmel.) C.A. Sm.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		5	coupe	drawer	10									CAPA	spare collection (basement)																							
Tw10158	1961	3	15		Dechamps, Roger					SN2095	Canthium oddonii (De Wild.) C. Evrard 	synonym	Psydrax palma	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		7	coupe	drawer	21									CAPA	spare collection (basement)																							
Tw10159	1961	3	15		Dechamps, Roger					SN5861	Guarea laurentii De Wild.	synonym	Leplaea laurentii	Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	6	coupe	drawer	11								Plank	CAPA	spare collection (basement)	spare collection (basement)	19/09/216																					
Tw10160	1961	3	15		Dechamps, Roger					SN13168	Vismia laurentii De Wild.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		4 | 19	coupe | sample	drawer | xylotheek cabinet	3 | 3									CAPA	Xylarium ground floor	Xylarium ground floor		4605	19	3																		
Tw10161	1961	3	15		Dechamps, Roger					SN663	Alstonia congensis Engl.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		1	coupe	drawer	16									CAPA	spare collection (basement)																							
Tw10162	1961	3	15		Dechamps, Roger					SN11977	Strombosiopsis tetrandra Engl.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		7 | 34	coupe | sample	drawer | xylotheek cabinet	7 | 1									CAPA	Xylarium ground floor	Xylarium ground floor		9199	34	1																		
Tw10163	1961	3	15		Dechamps, Roger					SN3994	Dialium zenkeri Harms	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		4 | 22	coupe | sample	drawer | xylotheek cabinet	27 | 6									CAPA	Xylarium ground floor	Xylarium ground floor		5692	22	6																		
Tw10164	1961	3	15		Dechamps, Roger					SN511	Albizia ferruginea (Guill. & Perr.) Benth.	accepted		Africa	Congo, Democratic Republic of the	Kasai																		CAPA	spare collection (basement)																							
Tw10165	1961	3	15		Dechamps, Roger					SN3168	Commiphora 	indet - genus		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		2	coupe	drawer	4									CAPA	spare collection (basement)																							
Tw10166	1961	3	15		Dechamps, Roger	origo??				SN4656	Entandrophragma angolense (Welw. ex C. DC.) C. DC.	accepted		Africa	Congo, Democratic Republic of the	Kasai																	Wood block	CAPA	spare collection (basement)	spare collection (basement)	18/11/2016																					
Tw10167	1961	3	15		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10168	1961	4	5		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10169	1961	4	9		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10170	1961	4	9		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10171	1961	4	9		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10172	1961	4	9		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1		1	6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10173	1961	4	9		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10174	1961	4	9		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10175	1961	4	9		Dechamps, Roger					SN4660	Entandrophragma congoense (Pierre ex De Wild.) A. Chev.	synonym	Entandrophragma angolense	Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	6	coupe	drawer	9									CAPA	spare collection (basement)																							
Tw10176	1961	4	9		Dechamps, Roger	reg.*				SN10930	Richardella afzelii (Engl.) Baehni 	synonym	Synsepalum afzelii	Africa	Congo, Democratic Republic of the	Kasai																		CAPA	spare collection (basement)																							
