UnitID	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw50083	Crown, R.C.			16		SN6968	Lannea grandis (Dennst.) Engl.	synonym	Lannea coromandelica	Asia	Sri Lanka																			CAPA	spare collection (basement)																							
Tw50084	Crown, R.C.					SN3861	Dalbergia 	indet - genus		Asia	Vietnam																			CAPA	spare collection (basement)																							
Tw50085						SN3248	Cordia collococca L.	accepted		North America	Cuba																			CAPA	spare collection (basement)																							
Tw50086	Dechamps, Roger					SN12939	Ulmus campestris L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50087	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			56 CTFTW		SN7713	Manglietia 	indet - genus		Asia	Vietnam																			CAPA	spare collection (basement)																							
Tw50088	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			341 CTFTW		SN4804	Erythrophleum fordii Oliv.	accepted		Asia	Vietnam			1	1	1			coupe	drawer	28					Tw_50088_ta_010.jpg,Tw_50088_xa_004.jpg	Tangential section ,Transversal section 	40,12		CAPA	spare collection (basement)																							
Tw50089	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			905		SN11657	Sindora siamensis Teysm. ex Miq.	accepted		Asia	Vietnam																			CAPA	Xylarium ground floor	Xylarium ground floor		5951	23	5																		
Tw50090	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			954		SN10642	Quercus 	indet - genus		Asia	Vietnam																			CAPA	spare collection (basement)																							
Tw50091	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			1886		SN13059	Vatica tonkinensis A.Cheval. 	uncertain	Vatica tonkinensis	Asia	Vietnam																			CAPA	Xylarium ground floor	Xylarium ground floor		2974	12	6																		
Tw50092	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			2106		SN2751	Chukrasia tabularis A. Juss.	accepted		Asia	Vietnam																			CAPA	spare collection (basement)																							
Tw50093	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			2190		SN13348	Wrightia pubescens R. Br.	accepted		Asia	Vietnam																			CAPA	spare collection (basement)																							
Tw50094	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			SS N°		SN980	Araucaria luxurians de Laub. & Gaussen	accepted		Oceania	New Caledonia																			CAPA	Xylarium ground floor	Xylarium ground floor		13060	51	1																		
Tw50095	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28073		SN5646	Geissois racemosa Labill.	uncertain	Geissois racemosa	Oceania	New Caledonia																			CAPA	spare collection (basement)																							
Tw50096	Acke M.			28076 CTFTW		SN862	Anthocarapa nitidula (Benth.) Pennington ex D.J. Mabberley 	accepted		Oceania	New Caledonia															Tw_50096_kops.jpg	Transversal view of wood	20		CAPA	Xylarium ground floor	Xylarium ground floor		7626	29	4																		
Tw50097	Mackee			28077 CTFTW		SN992	Archidendropsis granulosa (Labill.) I. Nielsen 	accepted		Oceania	New Caledonia																			CAPA	Xylarium ground floor	Xylarium ground floor		6175	24	3																		
Tw50098	Mackee			28081 CTFTW		SN3515	Crossostylis multiflora Brongn. & Gris ex Panch. & Sebert 	accepted		Oceania	New Caledonia																			CAPA	spare collection (basement)																							
Tw50099	Mackee			28082CTFTw.		SN8573	Nothofagus aequilateralis (Baum.-Bod.) Steenis	accepted		Oceania	New Caledonia																			CAPA	Xylarium ground floor	Xylarium ground floor		3923	16	6																		
Tw50100	Centre Technique Forestier Tropical			28089		SN5952	Gymnostoma nodiflorum (Thunb.) L.A.S. Johnson	accepted		Oceania	New Caledonia																			CAPA	Xylarium ground floor	Xylarium ground floor		1858	7	6																		
Tw50101	Acke M.			28090 CTFTW		SN862	Anthocarapa nitidula (Benth.) Pennington ex D.J. Mabberley 	accepted		Oceania	New Caledonia																			CAPA	spare collection (basement)																							
Tw50102	Acke M.			28091 CTFTW		SN862	Anthocarapa nitidula (Benth.) Pennington ex D.J. Mabberley 	accepted		Oceania	New Caledonia																			CAPA	spare collection (basement)																							
Tw50103	Centre Technique Forestier Tropical			28093 CTFTW		SN8629	Ochrothallus sarlinii Aubrév.	uncertain	Ochrothallus sarlinii	Oceania	New Caledonia																			CAPA	Xylarium ground floor	Xylarium ground floor		11319	43	7																		
Tw50104	Centre Technique Forestier Tropical			28095 CTFTW		SN3595	Cryptocarya macrocarpa Guillaumin	accepted		Oceania	New Caledonia																			CAPA	Xylarium ground floor	Xylarium ground floor		4946	20	4																		
Tw50105	Centre Technique Forestier Tropical			28099 CTFTW		SN4499	Dysoxylum 	indet - genus		Oceania	New Caledonia																			CAPA	spare collection (basement)																							
Tw50106	Centre Technique Forestier Tropical France			28105		SN982	Araucaria subulata Vieillard	accepted		Oceania	New Caledonia																			CAPA	Xylarium ground floor	Xylarium ground floor		13061	51	1																		
Tw50107	Sarlin, Paul - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28101CTFTW		SN1939	Calophyllum caledonicum Vieill. ex Planch. & Triana 	uncertain	Calophyllum caledonicum	Oceania	New Caledonia																			CAPA	spare collection (basement)																							
Tw50108	Office Nat. Des Forets			28167 CTFTW	3	SN2671	Chimarrhis cymosa Jacq.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50109	Service Forestier			28018 CTFT	42741	SN12558	Thespesia populnea (L.) Sol. ex Corrêa	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50110	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28019 CTFTW	62	SN5966	Haematoxylum campechianum L.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50111	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28020	63	SN2073	Canella winterana (L.) Gaertn.	uncertain	Canella winterana	North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50112	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28021 CTFTW	6,4	SN9654	Pisonia subcordata Sw.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50113	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28022 CTFTW	6 - S.	SN1778	Bumelia obovata (Lam.) A. DC.	synonym	Sideroxylon obovatum	North America	French Antilles	Guadeloupe																		CAPA	Xylarium ground floor	Xylarium ground floor		11170	43	3																		
Tw50114	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28023 CTFT	6	SN2122	Capparis indica (L.) Druce	accepted		North America	French Antilles	Guadeloupe																		CAPA	Xylarium ground floor	Xylarium ground floor		1712	7	3																		
Tw50115	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28024 CTFTW	42922	SN1780	Bumelia salicifolia (L.) Sw.	synonym	Sideroxylon salicifolium	North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50116	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28025 CTFTW	42953	SN2675	Chionanthus compactus Sw.	accepted		North America	French Antilles	Guadeloupe		1	1	1			coupe	drawer	8									CAPA	spare collection (basement)																							
Tw50117	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28026 CTFTW	42984	SN1938	Calophyllum calaba L.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50118	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28027	43014	SN12430	Terminalia catappa L.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50119	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28028 CTFTW	43045	SN3021	Coccoloba uvifera L.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50120	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28029	43075	SN12254	Tabebuia pallida (Lindl.) Miers	synonym	Tabebuia heterophylla	North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50121	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28030 CTFTW	6,13	SN9478	Pimenta racemosa (Mill.) J.W. Moore	accepted		North America	French Antilles	Guadeloupe																		CAPA	Xylarium ground floor	Xylarium ground floor		8938	33	2																		
Tw50122	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28031 CTFTW	41791	SN1045	Artocarpus altilis (Parkinson) Fosberg	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50123	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28032 CTFTW	15 G	SN2836	Citharexylum spinosum L.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50124						SN1800	Bursera simaruba (L.) Sarg.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50125	CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28034 ctft	42887	SN12316	Tamarindus indica L.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50126	Ducos, Y - CTFT - Centre Technique Forestier Tropical (Nogent-sur-Marne)			28035 CTFTW	43252	SN1835	Byrsonima lucida (Mill.) Rich.	accepted		North America	French Antilles	Guadeloupe																		CAPA	spare collection (basement)																							
Tw50127	Dechamps, Roger				10293	SN10989	Rosa corymbifera Borkh.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
