UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update																					
Tw70081	2016	11	28	Moses LIBALAH					SN4661	Entandrophragma cylindricum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70082	2016	11	28	Moses LIBALAH					SN9302	Uvariastrum pierreanum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70083	2016	11	28	Moses LIBALAH					SN12769	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70084	2016	11	28	Moses LIBALAH					SN11974	Angylocalyx pynaertii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70085	2016	11	28	Moses LIBALAH					SN3071	Chrysophyllum lacourtianum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70086	2016	11	28	Moses LIBALAH					SN2520	Pycnanthus angolensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70087	2016	11	28	Moses LIBALAH					SN13647	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70088	2016	11	28	Moses LIBALAH					SN12769	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70089	2016	11	28	Moses LIBALAH					SN11974	Entandrophragma cylindricum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70090	2016	11	28	Moses LIBALAH					SN7752	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70091	2016	11	28	Moses LIBALAH					SN12475	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70092	2016	11	28	Moses LIBALAH					SN10391	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70093	2016	11	28	Moses LIBALAH					SN12769	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70094	2016	11	28	Moses LIBALAH					SN9302	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70095	2016	11	28	Moses LIBALAH					SN396	Anonidium mannii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70096	2016	11	28	Moses LIBALAH					SN4661	Terminalia superba 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70097	2016	11	28	Moses LIBALAH					SN3071	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70098	2016	11	28	Moses LIBALAH					SN18497	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70099	2016	11	28	Moses LIBALAH					SN9302	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70100	2016	11	28	Moses LIBALAH					SN12769	Triplochiton scleroxylon 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70101	2016	11	28	Moses LIBALAH					SN2520	Keayodendron bridelioides 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70102	2016	11	28	Moses LIBALAH					SN16596	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70103	2016	11	28	Moses LIBALAH					SN9302	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70104	2016	11	28	Moses LIBALAH					SN11974	Pycnanthus angolensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70105	2016	11	28	Moses LIBALAH					SN5555	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70106	2016	11	28	Moses LIBALAH					SN7752	Hylodendron gabunense 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70107	2016	11	28	Moses LIBALAH					SN9302	Triplochiton scleroxylon 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70108	2016	11	28	Moses LIBALAH					SN5555	Chrysophyllum lacourtianum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70109	2016	11	28	Moses LIBALAH					SN7752	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70110	2016	11	28	Moses LIBALAH					SN9302	Entandrophragma cylindricum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70111	2016	11	28	Moses LIBALAH					SN7752	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
