TaxonID	FullScientificName	Kingdom	Class	Order	Genus	species	author_team_and_year 	Family	referenceString	BasionymName	identificationNotes	AcceptedName	view_taxon	Synonymy_info
SN11864	Stachyarrhena acuminata	Plantae	Magnoliopsida	Gentianales	Stachyarrhena	acuminata	Standl.	Rubiaceae	Publications of the Field Columbian Museum, Botanical Series 22(2): 123. 1940.	     		this name is accepted		
SN11865	Stachyothyrsus stapfiana	Plantae	Magnoliopsida	Fabales	Stachyothyrsus	stapfiana	(A. Chev.) J. Leonard & Voorhoeve	Fabaceae	Bulletin du Jardin Botanique de l'État 34: 442. 1964.	"Oxystigma stapfiana A.Chevalier; Bull. Soc. Bot. France, 1911, lviii. Mem. VIII. 166 (1912). "		this name is accepted		
SN11866	Stachytarpheta cayennensis	Plantae	Magnoliopsida	Lamiales	Stachytarpheta	cayennensis	(Rich.) M. Vahl	Verbenaceae	Enumeratio Plantarum . . . 1: 208. 1804.	"Verbena cayennensis Rich.; Actes de la Société d'Histoire Naturelle de Paris 1: 105. 1792. "	"as ""cajanensis"" "	this name is accepted		"Verbena cayennensis Rich. ;Abena cayennensis (Rich.) Hitchc.;Lippia cylindrica Scheele;Stachytarpheta australis fo. albiflora Moldenke;Stachytarpheta australis Moldenke;Stachytarpheta dichotoma (Ruiz & Pav.) Vahl;Stachytarpheta dichotoma fo. albiflora (Moldenke) Moldenke;Stachytarpheta guatemalensis fo. albiflora Moldenke;Stachytarpheta guatemalensis Moldenke;Stachytarpheta hirta Kunth;Stachytarpheta tabascana Moldenke;Stachytarpheta umbrosa Kunth;Stachytarpheta veronicaefolia Cham.;Valerianoides cayennense (Rich.) Kuntze;Verbena dichotoma Ruiz & Pav."
SN11867	Stachytarpheta indica	Plantae	Magnoliopsida	Lamiales	Stachytarpheta	indica	(L.) Vahl	Verbenaceae	Enumeratio Plantarum . . . 206. 1804(5).	"Verbena indica L.; Systema Naturae, Editio Decima 851. 1759. "		this name is accepted		Stachytarpheta jamaicensis (L.) Vahl
SN11868	Stachytarpheta jamaicensis	Plantae	Magnoliopsida	Lamiales	Stachytarpheta	jamaicensis	(L.) Vahl	Verbenaceae	Enumeratio Plantarum . . . 1: 206. 1804.	"Verbena jamaicensis L.; Species Plantarum 1: 19. 1753. "		this name is accepted		"Stachytarpheta friedrichsthalii Hayek;Stachytarpheta jamaicensis fo. albiflora Standl.;Stachytarpheta jamaicensis fo. atrocoerulea Moldenke;Verbena jamaicensis L. "
SN16086	Stachyurus praecox	Plantae	Magnoliopsida	Crossosomatales	Stachyurus	praecox	Sieb. & Zucc.	Stachyuraceae	Flora Japonica 1: 43. .			this name is accepted		
SN17705	Stadmania oppositifolia	Plantae	Magnoliopsida	Sapindales	Stadmania	oppositifolia	Lam.	Sapindaceae	Tableau Encyclopédique et Methodique ... Botanique 2: 443. 1793.			this name is accepted		"Nephelium oppositifoliolum (Lam.) Cord.;Stadmania sideroxylon DC."
SN11869	Stadmania sideroxylon	Plantae	Magnoliopsida	Sapindales	Stadmania	sideroxylon	DC.	Sapindaceae	Prodromus Systematis Naturalis Regni Vegetabilis 1: 615. 1824.	          		Stadmania oppositifolia Lam.	SN17705	
SN11870	Staehelina arborea	Plantae	Magnoliopsida	Asterales	Staehelina	arborea	Schreb.	Asteraceae	Icon. Descr. Pl. 1 (1766)		NC	this name is accepted		Staehelina arborescens Linn. 
SN11871	Staehelina dubia	Plantae	Magnoliopsida	Asterales	Staehelina	dubia	L.	Asteraceae	Species Plantarum 2: 840. 1753.			this name is accepted		
SN11872	Staehelina fruticosa	Plantae	Magnoliopsida	Asterales	Staehelina	fruticosa	(L.) L.	Asteraceae	Syst. ed. XII. 538.		NC	this name is accepted		
SN11873	Staehelina uniflosculosa	Plantae	Magnoliopsida	Asterales	Staehelina	uniflosculosa	Sibth. & Sm. 	Asteraceae	Fl. Graec. Prod. ii. 162.			this name is accepted		
SN11874	Stapfiella claoxyloides	Plantae	Magnoliopsida	Malpighiales	Stapfiella	claoxyloides	Gilg	Turneraceae	Wissenschaftliche Ergebnisse der Deutschen Zentral-Afrika-Expedition 1907--1908, Botanik 571. 1913.			this name is accepted		
SN11875	Stapfiella lucida	Plantae	Magnoliopsida	Malpighiales	Stapfiella	lucida	Robyns	Turneraceae	Bull. Jard. Bot. Brux. xxxiv. 403 (1964).			this name is accepted		
SN15343	Stapfiella ulugurica	Plantae	Magnoliopsida	Malpighiales	Stapfiella	ulugurica	Mildbr.	Turneraceae	Notizblatt des Botanischen Gartens und Museums zu Berlin-Dahlem 11: 943. 1933.			this name is accepted		
SN11876	Staphylea bumalda	Plantae	Magnoliopsida	Crossosomatales	Staphylea	bumalda	DC. 	Staphyleaceae	Prod. ii. 2.			this name is accepted		
SN11877	Staphylea pinnata	Plantae	Magnoliopsida	Crossosomatales	Staphylea	pinnata	L.	Staphyleaceae	Species Plantarum 270. 1753.			this name is accepted		
SN11878	Staphylea trifolia	Plantae	Magnoliopsida	Crossosomatales	Staphylea	trifolia	L.	Staphyleaceae	Species Plantarum 1: 270. 1753.			this name is accepted		
SN15684	Stathmostelma spec.	Plantae	Magnoliopsida	Gentianales	Stathmostelma			Apocynaceae				NDN		
SN11879	Staudtia congensis	Plantae	Magnoliopsida	Magnoliales	Staudtia	congensis	Vermoesen	Myristicaceae				Staudtia kamerunensis Warb. var. gabonensis (Warb.) Fouilloy	SN13647	
SN11880	Staudtia gabonensis	Plantae	Magnoliopsida	Magnoliales	Staudtia	gabonensis	Warb.	Myristicaceae	Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 33: 38			Staudtia kamerunensis Warb. var. gabonensis (Warb.) Fouilloy	SN13647	"Staudtia congensis Vermoesen;Staudtia niohue Pierre;Staudtia stipitata Warb."
SN13647	Staudtia kamerunensis	Plantae	Magnoliopsida	Magnoliales	Staudtia	kamerunensis	Warb.	Myristicaceae	Nova Acta Academiae Caesareae Leopoldino-Carolinae Germanicae Naturae Curiosorum 68: 241. 1897.			this name is accepted		
SN11881	Staudtia stipitata	Plantae	Magnoliopsida	Magnoliales	Staudtia	stipitata	Warb.	Myristicaceae	Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 33: 384. Mar. 1903.			Staudtia kamerunensis Warb. var. gabonensis (Warb.) Fouilloy	SN13647	
SN15993	Stauntonia hexaphylla	Plantae	Magnoliopsida	Ranunculales	Stauntonia	hexaphylla	Decne.	Lardizabalaceae	"Annales des Sciences Naturelles; Botanique, sér. 2, 12: 105. 1839."			this name is accepted		
SN11882	Steganotaenia araliacea	Plantae	Magnoliopsida	Apiales	Steganotaenia	araliacea	Hochst.	Apiaceae	Flora 27, Beibl.: 4. 1844.			this name is accepted		"Peucedanum araliaceum (Hochst.) Hiern;Peucedanum araliaceum var. fraxinifolium (Hiern ex Oliv.) Engl.;Peucedanum fraxinifolium Hiern ex Oliv.;Steganotaenia araliacea Hochst.;Steganotaenia araliacea var. foliis-setoso-serratis A. Rich.;Steganotaenia fraxinifolia (Hiern ex Olive) ???"
