Taxon_Notes	IdentifiedBy	IdentificationDay	IdentificationMonth	IdentificationYear	TypeStatus	Identification_Notes	ParasiteSpecies	ParasiteIdentifier	HostSpecies	HostIdentifier	UnitID	additionalID	collection_imported	accessionNumber	label_created_by	media_files	Notes	acquisitionType 	acquiredFrom	acquisitionDay	acquisitionMonth	acquisitionYear	Acquisition_Notes	sex	lifeStage	maleCount	femaleCount	juvenileCount	totalNumber	notes_Counts	sampling_code	institution	building	floor	room	row	column	shelf	specimen_status	KindOfUnit 	ContainerName	ContainerType	ContainerStorage	SubcontainerName	SubcontainerType	SubcontainerStorage	StorageNotes	DNA_Tag	DNA_box	DNA_tube	DNA_HPos	DNA_VPos	DNA_Notes	FullScientificName	secondary	collectedBy	samplingMethod	expedition_project	collectionStartDay	collectionStartMonth	collectionStartYear	collectionStartTimeH	collectionStartTimeM	collectionEndDay	collectionEndMonth	collectionEndYear	collectionEndTimeH	collectionEndTimeM	geologicalEpoch
					Cotype						IRSNB M 0032			8793																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R dentary with P/3 and alveoli of other teeth														Wyonycteris richardi	part-A														Continental Landenian
					Figured specimen						IRSNB M 0033			8793																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L dentary fragment with M/1														Wyonycteris richardi	part-A														Continental Landenian
					Figured specimen						IRSNB M 0034			8793																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Molaire inférieure gauche														Adapisoriculus minimus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0035			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M/2														Adapisoriculus minimus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0036			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Upper left molar or DP4/														"Insectivora Cuvier, 1817"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0037			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Right upper molar or DP4/														"Insectivora Cuvier, 1817"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0038			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Lower right molar or DP4/														"Insectivora Cuvier, 1817"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0039			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Lower left molar or DP4/														"Insectivora Cuvier, 1817"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0040			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Upper right molar														Chriacus	part-A														Continental Landenian
					Cotype						IRSNB M 0056			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L P/3														Teilhardina belgica	part-A														Continental Landenian
					Cotype						IRSNB M 0057			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L upper Molar														Teilhardina belgica	part-A														Continental Landenian
					Cotype						IRSNB M 0058			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R upper molar														Teilhardina belgica	part-A														Continental Landenian
					Cotype						IRSNB M 0059			5764																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M3/														Teilhardina belgica	part-A														Continental Landenian
					Cotype						IRSNB M 0060			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R P4/														Teilhardina belgica	part-A														Continental Landenian
					Cotype						IRSNB M 0062			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								astragale														Teilhardina belgica	part-A														Continental Landenian
					Cotype						IRSNB M 0063			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								metacarpian bone														Teilhardina belgica	part-A														Continental Landenian
					Holotype						IRSNB M 0066			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L dentary with P/4														Macrocranion vandebroeki	part-A														Continental Landenian
					Syntype						IRSNB M 0067			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R upper molar														Landenodon woutersi	part-A														Continental Landenian
					Figured specimen						IRSNB M 0068			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L upper molar														Oxyclenidae	part-A														Continental Landenian
					Syntype						IRSNB M 0069			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L lower molar (L M/1)														Landenodon woutersi	part-A														Continental Landenian
					Syntype						IRSNB M 0070			8793																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L lower molar (L M/2)														Landenodon woutersi	part-A														Continental Landenian
					Figured specimen						IRSNB M 0071			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Lower molar														Oxyclenidae	part-A														Continental Landenian
					Figured specimen						IRSNB M 0072			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M1/														Prototomus minimus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0073			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								"Upper molar,  DP4/"														Diacodexis gigasei	part-A														Continental Landenian
					Figured specimen						IRSNB M 0074			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								M1/														Miacis latouri	part-A														Continental Landenian
					Referred Specimen						IRSNB M 0075			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M2/														Dormaalocyon latouri	part-A														Continental Landenian
					Figured specimen						IRSNB M 0076			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								M1/														Miacidae	part-A														Continental Landenian
					Figured specimen						IRSNB M 0077			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M3/														Dormaalocyon latouri	part-A														Continental Landenian
					Figured specimen						IRSNB M 0078			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M3/														Dormaalocyon latouri	part-A														Continental Landenian
					Figured specimen						IRSNB M 0079			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L lower molar														Oxyclenidae	part-A														Continental Landenian
					Figured specimen						IRSNB M 0080			8977																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M1/														Prototomus minimus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0081			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								molar														Creodonta	part-A														Continental Landenian
					Figured specimen						IRSNB M 0082			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M/1 ou P/4														Miacidae	part-A														Continental Landenian
					Figured specimen						IRSNB M 0083			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M/x														Creodonta	part-A														Continental Landenian
					Figured specimen						IRSNB M 0084			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M/3														Oxyclenidae	part-A														Continental Landenian
					Figured specimen						IRSNB M 0085			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								RP4/														Dormaalocyon latouri	part-A														Continental Landenian
					Figured specimen						IRSNB M 0086			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M/3														Dormaalocyon latouri	part-A														Continental Landenian
					Figured specimen						IRSNB M 0087			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M/3														Dormaalocyon latouri	part-A														Continental Landenian
					Holotype?						IRSNB M 0088			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M/x														Phenacodus europeus	part-A														Continental Landenian
					Cotype						IRSNB M 0089			8793																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L Mx/														Phenacodus europeus	part-A														Continental Landenian
					Cotype						IRSNB M 0090			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M/x														Phenacodus europeus	part-A														Continental Landenian
					Cotype						IRSNB M 0091			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								3th metatarsian														Phenacodus europeus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0092			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R max fragment with M1/														Reithroparamys metacingularis	part-A														Continental Landenian
					Figured specimen						IRSNB M 0093			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M3/														Paramys	part-A														Continental Landenian
					Figured specimen						IRSNB M 0094			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M3/														Reithroparamys metacingularis	part-A														Continental Landenian
					Figured specimen						IRSNB M 0095			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								P4/														Paramys lemoinei	part-A														Continental Landenian
					Figured specimen						IRSNB M 0096			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								P4/														Reithroparamys metacingularis	part-A														Continental Landenian
					Figured specimen						IRSNB M 0097			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M1/														Reithroparamys metacingularis	part-A														Continental Landenian
					Figured specimen						IRSNB M 0098			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M1/														Acritoparamys	part-A														Continental Landenian
					Holotype						IRSNB M 0099			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								"R M1,2/"														Paramys anacingularis	part-A														Continental Landenian
					Figured specimen						IRSNB M 0100			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M2/														Acritoparamys	part-A														Continental Landenian
					Figured specimen						IRSNB M 0101			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M2/														Reithroparamys metacingularis	part-A														Continental Landenian
					Figured specimen						IRSNB M 0102			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M/2														Paramys taurus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0103			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M/2														Acritoparamys atwateri	part-A														Continental Landenian
					Figured specimen						IRSNB M 0104			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M/2														Paramys	part-A														Continental Landenian
					Figured specimen						IRSNB M 0105			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								M/1														Paramys	part-A														Continental Landenian
					Figured specimen						IRSNB M 0106			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L M/3														Paramys	part-A														Continental Landenian
					Figured specimen						IRSNB M 0107			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Incisor														Paramys lemoinei	part-A														Continental Landenian
					Figured specimen						IRSNB M 0108			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Incisor														Paramys lemoinei	part-A														Continental Landenian
					Figured specimen						IRSNB M 0109			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Incisor														Paramys lemoinei	part-A														Continental Landenian
					Figured specimen						IRSNB M 0110			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Incisor														Paramys lemoinei	part-A														Continental Landenian
					Figured specimen						IRSNB M 0111			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								M1/														Acritoparamys	part-A														Continental Landenian
					Figured specimen						IRSNB M 0112			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								M/3														Acritoparamys atwateri	part-A														Continental Landenian
					Figured specimen						IRSNB M 0113			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Incisor														Paramys nanus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0114			8737																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Incisor														Paramys nanus	part-A														Continental Landenian
					Holotype						IRSNB M 0115			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								L Mx/														Microhyus musculus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0116			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R M/3														Diacodexis gigasei	part-A														Continental Landenian
					Figured specimen						IRSNB M 0117			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								fused tibia and fibula														"Mammalia Linnaeus, 1758"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0118			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								humerus														"Mammalia Linnaeus, 1758"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0119			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								humerus epiphysis														"Mammalia Linnaeus, 1758"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0120			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								femur														Paramys	part-A														Continental Landenian
					Figured specimen						IRSNB M 0121			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								calcaneum														Adapisorex	part-A														Continental Landenian
					Figured specimen						IRSNB M 0122			8793																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								humerus														Paramys	part-A														Continental Landenian
					Figured specimen						IRSNB M 0123			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								ungulate phalanx (claw/nail)														"Mammalia Linnaeus, 1758"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0124			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								ungulate phalanx (claw/nail)														"Mammalia Linnaeus, 1758"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0125			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								ungulate phalanx (claw/nail)														"Mammalia Linnaeus, 1758"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0126			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								ungulate phalanx (claw/nail)														"Mammalia Linnaeus, 1758"	part-A														Continental Landenian
					Figured specimen						IRSNB M 0127			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								ungulate phalanx (claw/nail)														Creodonta	part-A														Continental Landenian
					Figured specimen						IRSNB M 0128			8710																	IRSNB M 0128	Royal Belgian Institute of Natural Sciences								L I/1														Platychoerops georgei	part-A														Continental Landenian
					Figured specimen						IRSNB M 0129			8710																	IRSNB M 0128	Royal Belgian Institute of Natural Sciences								R P/4														Phenacodus teilhardi	part-A														Continental Landenian
					Figured specimen						IRSNB M 0130			8710																	IRSNB M 0128	Royal Belgian Institute of Natural Sciences								R M/3														Sifrhippus sandrae	part-A														Continental Landenian
					Figured specimen						IRSNB M 0131a-c			2319																	IRSNB M 0131a-c	Royal Belgian Institute of Natural Sciences								M 131a: crâne; M 131b: mandibule; M131c: squelette														Mammuthus primigenius	part-A														
					Figured specimen						IRSNB M 0132			5764																	IRSNB M 0128	Royal Belgian Institute of Natural Sciences								juvenile L femur														Coryphodon eocaenus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0133			17172																	IRSNB M 0133	Royal Belgian Institute of Natural Sciences								astragal														Coryphodon eocaenus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0134			17172																	IRSNB M 0133	Royal Belgian Institute of Natural Sciences								R femur fragment														Coryphodon eocaenus	part-A														Continental Landenian
					Figured specimen						IRSNB M 0135			17172																	IRSNB M 0133	Royal Belgian Institute of Natural Sciences								L femur														Coryphodon eocaenus	part-A														Continental Landenian
					Holotype						IRSNB M 0136a-a³			10824																	IRSNB M 0136a-a³	Royal Belgian Institute of Natural Sciences								near-complete skeleton														Miosiren kocki	part-A														Anversian
					Plesiotype						IRSNB M 0137a-b		Lefèvre	6433			Collection Lefèvre														IRSNB M 0137a-b	Royal Belgian Institute of Natural Sciences								M 137a: scapula; M137b: thoracic vertebra														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0138a-e		Delheid	8289			Collection Delheid														IRSNB M 0138a-e	Royal Belgian Institute of Natural Sciences								M 138a: 10th thoracic vertebra; M 138b: 4th caudal vertebra; M 138c: 12th caudal vertebra; M 138d: left radius; M 138e: sternum														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0139a-d		Delheid	8289			Collection Delheid														IRSNB M 0138a-e	Royal Belgian Institute of Natural Sciences								M 139a: 5th thoracic vertebra: M 139b: 10th thoracic vertebra; M 139c: 18th thoracic vertebra; M 139d: xiphisternum														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0140a-f		Delheid	8289			Collection Delheid														IRSNB M 0138a-e	Royal Belgian Institute of Natural Sciences								M 140a: 5th thoracic vertebra; M 140b: 1st lumbar vertebra; M 140c: 6th caudal vertebra; M 140d: 13th caudal vertebra; M 140e: 16th caudal vertebra; 140f: skull + mandible fragment														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0141a-b		Lefèvre	6433			Collection Lefèvre														IRSNB M 0141a-b	Royal Belgian Institute of Natural Sciences								M 141a: R M/3; M 141b: left cubitus														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0142a-b		Delheid	8289			Collection Delheid														IRSNB M 0142a-b	Royal Belgian Institute of Natural Sciences								M 142a: radius and ulna ; M 142b: radial & intermedium														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0143a-h		Hasse	8444			Collection Hasse														IRSNB M 0141a-b	Royal Belgian Institute of Natural Sciences								M 143a: L M3/; M 143b: 6th thoracic vertebra; M 143c: 17th thoracic vertebra; M 143d: 7th cervical vertebra; M 143e: 1st lumbar vertebra; M 143f: 2nd lumbar vertebra; M 143g: manubrium sterni; M 143h: xiphisternum														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0144a-c		Delheid	8289			Collection Delheid														IRSNB M 0144a-c	Royal Belgian Institute of Natural Sciences								M 144a: L M1/; M 144b: 18th thoracic vertebra; M 144c: L M5/														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0145a-f			5222																	IRSNB M 0141a-b	Royal Belgian Institute of Natural Sciences								M 145a: 17th caudal vertebra; M 145b: right humerus; M 145c: right ulna & radius; M 145d: 2nd metacarpal; M 145e: 3rd metacarpal; M 145f: 4th metacarpal														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0146a-b		Delheid	8289			Collection Delheid														IRSNB M 0144a-c	Royal Belgian Institute of Natural Sciences								M 146a: 10th thoracic vertebra; M 146b: left humerus juvenile														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0147a-b		De Pauw	8516			Collection De Pauw														IRSNB M 0147a-b	Royal Belgian Institute of Natural Sciences								M 147a: R M/3; M 147b: L M3/														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0148a-d			8264																	IRSNB M 0147a-b	Royal Belgian Institute of Natural Sciences								M 148a: incisor; M 148b: upper premolar; M 148c: R /dM; M 148d: R /M1														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0149		Delheid	8289			Collection Delheid														IRSNB M 0149	Royal Belgian Institute of Natural Sciences								L M3/														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0150a-c			6286																	IRSNB M 0150a-c	Royal Belgian Institute of Natural Sciences								M 150a: 6th thoracic vertebra; M 150b: 11th thoracic vertebra; M 150c: 18th thoracic vertebra														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0151a-d		Delheid	8289			Collection Delheid														IRSNB M 0151a-d	Royal Belgian Institute of Natural Sciences								M 151a: fragment of maxilla + M/5; M 151b: fragment of pterygoid; M 151c: frontal; M 151d: fragment of sphenoid														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0152			17172																	IRSNB M 0152	Royal Belgian Institute of Natural Sciences								fragment of skull (basicranium and part of the frontal)														Halitherium schinzii forme delheidi	part-A														Rupelian
					Holotype						IRSNB M 0153a-c			17172																	IRSNB M 0153a-c	Royal Belgian Institute of Natural Sciences								M 153a: base of skull; M 153b: caudal vertebra; M 153c: thoracic vertebra (manquerait)														Crassitherium robustum	part-A														Anversian
					Figured specimen						IRSNB M 0154			17172																	IRSNB M 0154	Royal Belgian Institute of Natural Sciences								R scaphoid														Odobenus rosmarus	part-A														Pliocene ou Quaternaire
					Figured specimen						IRSNB M 0155			17172																	IRSNB M 0155	Royal Belgian Institute of Natural Sciences								12th thoracic vertebra														Odobenus rosmarus	part-A														Pliocene ou Quaternaire
					Plesiotype						IRSNB M 0156			17172																	IRSNB M 0156	Royal Belgian Institute of Natural Sciences								R dentary fragment														Trichecodon koninckii	part-A														Scaldisian
					Plesiotype						IRSNB M 0157			17172																	IRSNB M 0157	Royal Belgian Institute of Natural Sciences								L humeri epiphyses														Trichecodon koninckii	part-A														Scaldisian
					Plesiotype						IRSNB M 0158a-c			17172																	IRSNB M 0156	Royal Belgian Institute of Natural Sciences								M 158a: R ilium; M 158b: 1st rib; M 158c: sternum fragment														Trichecodon koninckii	part-A														Scaldisian
					Plesiotype						IRSNB M 0159			17172																	IRSNB M 0159	Royal Belgian Institute of Natural Sciences								Sacrum														Trichecodon koninckii	part-A														Scaldisian
					Figured specimen						IRSNB M 0160a-c			17172																	IRSNB M 0160a-c	Royal Belgian Institute of Natural Sciences								M 160a: skull; M 160b: mandibule; M 160c: skeleton														Mammuthus primigenius	part-A														Pleistocene
					Plesiotype						IRSNB M 0161a-c			17172																	IRSNB M 0161a-c	Royal Belgian Institute of Natural Sciences								M 161a: 1st metacarpian; M 161b: 2nd metacarpian; M 161c: 1st L metacarpian														Trichecodon koninckii	part-A														Scaldisian
					Plesiotype						IRSNB M 0162a-b		De Pauw	8516			Collection De Pauw														IRSNB M 0141a-b	Royal Belgian Institute of Natural Sciences								M 162a: Fragment of skull; M 162b: Fragment of mandible														Halitherium schinzii forme delheidi	part-A														Rupelian
					Plesiotype						IRSNB M 0163			17172																	IRSNB M 0173a-c	Royal Belgian Institute of Natural Sciences								1st phalanx														Trichecodon koninckii	part-A														Scaldisian
					Plesiotype						IRSNB M 0164			17172																	IRSNB M 0891	Royal Belgian Institute of Natural Sciences								6th cervical vertebra														Trichecodon koninckii	part-A														Scaldisian
					Plesiotype						IRSNB M 0165			6500																	IRSNB M 0165	Royal Belgian Institute of Natural Sciences								6th toracic vertebra														Halitherium schinzii forme delheidi	part-A														Rupelian
