sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
TEST_MERGEIRSNB M 0565	Europe	Belgium						Antwerp Province, Antwerpen, sables noirs à Pétoncles°'																					BE																																					
TEST_MERGEIRSNB M 0567	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, face gauche de l'ancien fortin°'																					BE																																					
TEST_MERGEIRSNB M 0575	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, fossé du ravelin°'																					BE																																					
TEST_MERGEIRSNB M 0594a-b	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, front 6, fossé du ravelin°'																					BE																																					
TEST_MERGEIRSNB M 0682a-c	Europe	Belgium						Antwerp Province, Antwerpen, Bassin du Nord°'																					BE																																					
TEST_MERGEIRSNB M 0693	Europe	Belgium						Antwerp Province, Antwerpen, fort n°3°'																					BE																																					
TEST_MERGEIRSNB M 0727	Europe	Belgium						Antwerp Province, Antwerpen, partie de l'ancien fortin n°1, 3rd section, fossé du ravelin°'																					BE																	sables noirs à pétoncles																				
TEST_MERGEIRSNB M 0714	Europe	Belgium						Antwerp Province, Antwerpen, nouveau canal d'Herentals°'																					BE																	sables noirs à pétoncles																				
TEST_MERGEIRSNB M 0716a-g	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section°'																					BE																	sables noirs à pétoncles																				
TEST_MERGEIRSNB M 0731	Europe	Belgium						Antwerp Province, Deurne°'																					BE																																					
