sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
TEST_MERGEIRSNB M 1369	Europe	Belgium						Province de Namur, Caverne de Walzin, Trou de l'Hyène°'																					BE																	3eme niveau																				
TEST_MERGEIRSNB M 1370	Europe	Belgium						Province de Namur, Pont-à-Lesse, Trou de Pont-à-Lesse°'																					BE																																					
TEST_MERGEIRSNB M 1371	Europe	Belgium						Province de Namur, Pont-à-Lesse, Trou de la Martina°'																					BE																																					
TEST_MERGEIRSNB M 1372	Europe	Belgium						Province de Namur, Pont-à-Lesse, Trou Magrite°'																					BE																																					
TEST_MERGEIRSNB M 1384	Europe	Belgium						Province de Namur, Walzin, Trou de l'Hyène°'																					BE																																					
TEST_MERGEIRSNB M 1386	Europe	Belgium						Province de Namur, Walzin, Trou de l'Ours°'																					BE																																					
TEST_MERGEIRSNB M 1388	Europe	Belgium						Province de Namur, Hastière, Caverne de Freyr°'																					BE																	Limon fluvial																				
TEST_MERGEIRSNB M 1408	Europe	Belgium						Province de Namur, Pont-à-Lesse, Trou Magrite°'																					BE																	3ème niveau																				
TEST_MERGEIRSNB M 1438	Europe	Belgium						Flemish Brabant Province, Hofstade°'																					BE																																					
TEST_MERGEIRSNB M 1453a-b	Europe	Germany						Messel°'																					DE																	Messel Formation																				
TEST_MERGEIRSNB M 1454	Europe	Belgium						Province d'Anvers, Beerse-Merxplats°'																					BE																																					
TEST_MERGEIRSNB M 1461	Europe	Belgium						Brabant wallon, Orp-le-Grand, Briqueterie°'																					BE																	Sable d'Orp																				
